symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi_14
QQQ,2025-09-11 14:14:00+00:00,582.9,583.0005,582.69,582.78,394773.0,2937.0,582.799806,45.681818181817036
QQQ,2025-09-11 14:15:00+00:00,582.79,582.95,582.735,582.895,142867.0,1941.0,582.824972,47.472527472527375
QQQ,2025-09-11 14:16:00+00:00,582.88,582.88,582.59,582.82,122391.0,1896.0,582.718649,47.78761061947103
QQQ,2025-09-11 14:17:00+00:00,582.81,583.22,582.8,583.18,170505.0,2425.0,583.082894,48.47161572052283
QQQ,2025-09-11 14:18:00+00:00,583.17,583.23,582.76,582.86,98497.0,1816.0,582.975511,41.63424124513658
QQQ,2025-09-11 14:19:00+00:00,582.87,582.97,582.54,582.62,139639.0,1889.0,582.785534,38.214285714285616
QQQ,2025-09-11 14:20:00+00:00,582.62,582.84,582.5,582.71,284837.0,1960.0,582.641718,31.0756972111558
QQQ,2025-09-11 14:21:00+00:00,582.71,583.005,582.69,582.84,130926.0,1995.0,582.81781,32.945736434107374
QQQ,2025-09-11 14:22:00+00:00,582.86,582.92,582.6,582.69,72237.0,1532.0,582.765807,29.323308270677273
QQQ,2025-09-11 14:23:00+00:00,582.6801,582.89,582.65,582.76,61434.0,1312.0,582.766459,35.56485355648344
QQQ,2025-09-11 14:24:00+00:00,582.78,583.022,582.77,583.022,90767.0,1611.0,582.924652,50.27124773960348
QQQ,2025-09-11 14:25:00+00:00,583.01,583.04,582.86,582.94,98215.0,1725.0,582.943735,46.6124661246615
QQQ,2025-09-11 14:26:00+00:00,582.94,583.085,582.92,583.0,86229.0,1541.0,583.006673,47.906566769501175
QQQ,2025-09-11 14:27:00+00:00,582.96,583.02,582.61,582.84,118538.0,1948.0,582.791547,48.65711727842539
QQQ,2025-09-11 14:28:00+00:00,582.85,583.02,582.79,582.86,114139.0,1622.0,582.940466,51.87441424554952
QQQ,2025-09-11 14:29:00+00:00,582.84,582.97,582.75,582.95,78567.0,1210.0,582.884291,51.30393551446354
QQQ,2025-09-11 14:30:00+00:00,582.94,583.09,582.86,583.09,81591.0,1252.0,582.956995,56.2097516099359
QQQ,2025-09-11 14:31:00+00:00,583.08,583.2283,582.95,583.17,106090.0,1552.0,583.100238,49.73600844772989
QQQ,2025-09-11 14:32:00+00:00,583.18,583.4158,583.1699,583.37,134295.0,1848.0,583.27977,64.37429537767822
QQQ,2025-09-11 14:33:00+00:00,583.37,583.54,583.2801,583.5,113850.0,1707.0,583.444024,76.44230769230956
QQQ,2025-09-11 14:34:00+00:00,583.52,583.7612,583.49,583.74,116955.0,1594.0,583.632381,78.39029768467634
QQQ,2025-09-11 14:35:00+00:00,583.73,583.945,583.7,583.93,222909.0,2514.0,583.837514,79.0821771611536
QQQ,2025-09-11 14:36:00+00:00,583.93,583.97,583.77,583.92,184829.0,2329.0,583.868663,85.46712802768279
QQQ,2025-09-11 14:37:00+00:00,583.93,583.98,583.82,583.84,134604.0,1529.0,583.912371,80.96330275229829
QQQ,2025-09-11 14:38:00+00:00,583.84,583.96,583.83,583.87,108789.0,1374.0,583.88032,78.04232804233186
QQQ,2025-09-11 14:39:00+00:00,583.87,584.099,583.85,584.08,149056.0,2092.0,584.016987,84.7560975609803
QQQ,2025-09-11 14:40:00+00:00,584.075,584.17,584.05,584.1,144356.0,1748.0,584.103703,84.3750000000051
QQQ,2025-09-11 14:41:00+00:00,584.1,584.21,583.94,584.03,142681.0,1805.0,584.059734,89.40397350993501
QQQ,2025-09-11 14:42:00+00:00,584.03,584.16,584.03,584.1,102886.0,1548.0,584.099692,89.74358974359143
QQQ,2025-09-11 14:43:00+00:00,584.09,584.1212,583.97,584.01,126800.0,1631.0,584.051396,83.97435897435841
QQQ,2025-09-11 14:44:00+00:00,584.0,584.14,583.99,584.13,68754.0,1078.0,584.055267,83.76623376623338
QQQ,2025-09-11 14:45:00+00:00,584.12,584.24,583.76,583.81,210573.0,2591.0,584.048726,67.97752808988639
QQQ,2025-09-11 14:46:00+00:00,583.83,583.97,583.82,583.86,111432.0,1762.0,583.889933,65.03067484662503
QQQ,2025-09-11 14:47:00+00:00,583.84,583.91,583.69,583.85,115680.0,2021.0,583.834097,61.58940397350988
QQQ,2025-09-11 14:48:00+00:00,583.84,583.895,583.74,583.86,58825.0,1436.0,583.816514,54.687499999999865
QQQ,2025-09-11 14:49:00+00:00,583.86,583.975,583.8401,583.91,76190.0,1333.0,583.911482,49.12280701754473
QQQ,2025-09-11 14:50:00+00:00,583.93,584.0,583.67,583.7,119554.0,1641.0,583.885632,41.791044776122824
QQQ,2025-09-11 14:51:00+00:00,583.7,583.78,583.44,583.48,113074.0,1681.0,583.634385,37.83783783783846
QQQ,2025-09-11 14:52:00+00:00,583.465,583.5205,583.245,583.28,124248.0,1699.0,583.408771,32.121212121213375
QQQ,2025-09-11 14:53:00+00:00,583.27,583.46,583.1907,583.45,133960.0,1750.0,583.320589,30.434782608698725
QQQ,2025-09-11 14:54:00+00:00,583.45,583.68,583.4442,583.56,113601.0,1680.0,583.587739,34.11764705882274
QQQ,2025-09-11 14:55:00+00:00,583.57,583.67,583.18,583.29,194901.0,2616.0,583.376843,30.526315789474367
QQQ,2025-09-11 14:56:00+00:00,583.27,583.48,583.175,583.39,113912.0,1580.0,583.338159,31.60621761657997
QQQ,2025-09-11 14:57:00+00:00,583.38,583.61,583.35,583.5699,89222.0,1339.0,583.478958,39.105896331500865
QQQ,2025-09-11 14:58:00+00:00,583.56,583.74,583.545,583.64,103101.0,1482.0,583.638095,37.56345177664969
QQQ,2025-09-11 14:59:00+00:00,583.62,583.865,583.62,583.8607,84892.0,1169.0,583.764822,51.35510771369027
QQQ,2025-09-11 15:00:00+00:00,583.86,583.96,583.815,583.84,686887.0,1530.0,583.88017,49.45693494080634
QQQ,2025-09-11 15:01:00+00:00,583.86,583.97,583.825,583.89,57743.0,1020.0,583.894688,51.06303816306922
QQQ,2025-09-11 15:02:00+00:00,583.91,584.02,583.85,583.88,54596.0,981.0,583.923219,50.531519081534604
QQQ,2025-09-11 15:03:00+00:00,583.9,584.03,583.9,583.992,49280.0,876.0,583.972698,52.1097046413503
QQQ,2025-09-11 15:04:00+00:00,584.01,584.065,583.91,583.93,56668.0,909.0,583.987253,56.40525788124994
QQQ,2025-09-11 15:05:00+00:00,583.93,584.0,583.79,583.98,98919.0,1376.0,583.924471,65.38082933431866
QQQ,2025-09-11 15:06:00+00:00,583.99,584.15,583.9799,584.12,106473.0,1431.0,584.046055,76.8302031429704
QQQ,2025-09-11 15:07:00+00:00,584.09,584.18,584.03,584.07,76530.0,1080.0,584.114816,71.44735021447778
QQQ,2025-09-11 15:08:00+00:00,584.07,584.17,583.975,584.04,68061.0,950.0,584.06762,67.57726673502455
QQQ,2025-09-11 15:09:00+00:00,584.04,584.1,583.91,583.93,86561.0,1079.0,583.995401,76.54720424755342
QQQ,2025-09-11 15:10:00+00:00,583.94,584.06,583.925,583.995,71163.0,1080.0,583.995021,75.84586466165553
QQQ,2025-09-11 15:11:00+00:00,584.0,584.119,583.93,584.08,54663.0,925.0,584.024466,73.71455137145809
QQQ,2025-09-11 15:12:00+00:00,584.09,584.2101,584.07,584.16,71735.0,1213.0,584.161236,73.9543025612683
QQQ,2025-09-11 15:13:00+00:00,584.13,584.23,584.06,584.12,92508.0,1306.0,584.125671,64.3307173648763
QQQ,2025-09-11 15:14:00+00:00,584.12,584.19,584.08,584.18,59086.0,965.0,584.13576,68.00847457626762
QQQ,2025-09-11 15:15:00+00:00,584.18,584.2,584.12,584.16,68975.0,1096.0,584.158035,64.77024070021804
QQQ,2025-09-11 15:16:00+00:00,584.16,584.4701,584.1208,584.47,234379.0,2659.0,584.337426,74.2998352553544
QQQ,2025-09-11 15:17:00+00:00,584.47,584.6,584.39,584.59,211636.0,2414.0,584.495861,74.46808510638397
QQQ,2025-09-11 15:18:00+00:00,584.58,584.88,584.58,584.81,218505.0,2553.0,584.741621,81.88405797101443
QQQ,2025-09-11 15:19:00+00:00,584.805,584.81,584.68,584.742,95052.0,1584.0,584.762989,77.25321888411989
QQQ,2025-09-11 15:20:00+00:00,584.76,584.85,584.66,584.77,92728.0,1350.0,584.757081,75.27216174183536
QQQ,2025-09-11 15:21:00+00:00,584.79,584.81,584.54,584.57,159263.0,2007.0,584.685271,67.40947075209009
QQQ,2025-09-11 15:22:00+00:00,584.58,584.61,584.44,584.46,88312.0,1275.0,584.534851,63.852242744067105
QQQ,2025-09-11 15:23:00+00:00,584.4501,584.62,584.43,584.58,69056.0,1001.0,584.549519,71.29750982962514
QQQ,2025-09-11 15:24:00+00:00,584.59,584.68,584.39,584.4568,195415.0,2269.0,584.546594,64.57517990153082
QQQ,2025-09-11 15:25:00+00:00,584.48,584.72,584.45,584.65,146120.0,1869.0,584.59223,66.83999054597153
QQQ,2025-09-11 15:26:00+00:00,584.65,584.6901,584.46,584.49,66917.0,1142.0,584.578587,59.30941096818137
QQQ,2025-09-11 15:27:00+00:00,584.49,584.6,584.3812,584.3812,91991.0,1149.0,584.460752,57.093200086901724
QQQ,2025-09-11 15:28:00+00:00,584.388,584.6842,584.388,584.64,72454.0,1207.0,584.557004,61.27450980392392
QQQ,2025-09-11 15:29:00+00:00,584.63,584.68,584.54,584.68,64438.0,981.0,584.611385,62.62135922330226
QQQ,2025-09-11 15:30:00+00:00,584.68,584.83,584.67,584.8,100556.0,1421.0,584.757464,58.82352941176435
QQQ,2025-09-11 15:31:00+00:00,584.81,584.8601,584.71,584.82,81004.0,1053.0,584.778718,56.49717514124435
QQQ,2025-09-11 15:32:00+00:00,584.83,584.85,584.7042,584.72,72136.0,972.0,584.774517,47.27272727272953
QQQ,2025-09-11 15:33:00+00:00,584.7301,584.88,584.7,584.79,125157.0,1571.0,584.791888,51.452784503632174
QQQ,2025-09-11 15:34:00+00:00,584.79,584.79,584.6599,584.67,48671.0,770.0,584.726064,47.1330275229348
QQQ,2025-09-11 15:35:00+00:00,584.66,584.69,584.57,584.6001,90085.0,1091.0,584.624088,50.93252370035165
QQQ,2025-09-11 15:36:00+00:00,584.59,584.66,584.43,584.49,117873.0,1469.0,584.546286,50.929368029739045
QQQ,2025-09-11 15:37:00+00:00,584.5,584.72,584.5,584.68,77805.0,1007.0,584.597635,52.96912114014028
QQQ,2025-09-11 15:38:00+00:00,584.68,584.69,584.3542,584.39,78279.0,973.0,584.495898,48.19537497298282
QQQ,2025-09-11 15:39:00+00:00,584.405,584.47,584.33,584.37,69430.0,926.0,584.404893,41.65474487362859
QQQ,2025-09-11 15:40:00+00:00,584.36,584.405,584.245,584.37,98813.0,1196.0,584.316361,46.04638903531822
QQQ,2025-09-11 15:41:00+00:00,584.38,584.45,584.3151,584.41,58911.0,784.0,584.386733,50.99392600772836
QQQ,2025-09-11 15:42:00+00:00,584.4,584.4501,584.31,584.36,51569.0,701.0,584.387113,38.70967741935395
QQQ,2025-09-11 15:43:00+00:00,584.35,584.42,584.27,584.33,44417.0,707.0,584.333231,35.77235772357851
QQQ,2025-09-11 15:44:00+00:00,584.34,584.35,584.23,584.23,68548.0,931.0,584.286461,26.446280991734454
QQQ,2025-09-11 15:45:00+00:00,584.24,584.31,584.16,584.24,83848.0,1010.0,584.243517,25.83333333332567
QQQ,2025-09-11 15:46:00+00:00,584.24,584.24,583.9,583.94,100476.0,1372.0,584.041023,22.142857142850872
QQQ,2025-09-11 15:47:00+00:00,583.94,584.13,583.87,584.125,114131.0,1364.0,583.995292,28.05280528052411
QQQ,2025-09-11 15:48:00+00:00,584.11,584.16,584.0,584.0816,79490.0,1039.0,584.077441,29.54671857619168
QQQ,2025-09-11 15:49:00+00:00,584.075,584.075,583.94,584.06,190629.0,687.0,584.009642,30.573340047472996
QQQ,2025-09-11 15:50:00+00:00,584.06,584.195,584.04,584.18,77971.0,988.0,584.141583,38.92857142856733
QQQ,2025-09-11 15:51:00+00:00,584.16,584.36,584.14,584.35,114197.0,1424.0,584.29306,38.043478260871176
QQQ,2025-09-11 15:52:00+00:00,584.35,584.5,584.35,584.41,85007.0,1159.0,584.43009,50.86956521739062
QQQ,2025-09-11 15:53:00+00:00,584.4,584.445,584.315,584.32,60876.0,860.0,584.371671,47.950819672132674
QQQ,2025-09-11 15:54:00+00:00,584.31,584.47,584.3,584.43,54260.0,777.0,584.415775,52.255639097742815
QQQ,2025-09-11 15:55:00+00:00,584.415,584.495,584.39,584.41,45071.0,717.0,584.434937,50.0
QQQ,2025-09-11 15:56:00+00:00,584.41,584.5,584.3613,584.37,51882.0,772.0,584.43554,50.384615384615124
QQQ,2025-09-11 15:57:00+00:00,584.36,584.47,584.33,584.425,33161.0,576.0,584.391972,53.58490566037489
QQQ,2025-09-11 15:58:00+00:00,584.415,584.45,584.38,584.44,27817.0,573.0,584.420813,58.46774193548683
QQQ,2025-09-11 15:59:00+00:00,584.44,584.46,584.37,584.37,33919.0,574.0,584.419388,55.00000000000043
QQQ,2025-09-11 16:00:00+00:00,584.37,584.48,584.3,584.48,116057.0,904.0,584.396933,74.32432432432488
QQQ,2025-09-11 16:01:00+00:00,584.46,584.65,584.45,584.64,81797.0,965.0,584.539371,73.73271889401028
QQQ,2025-09-11 16:02:00+00:00,584.64,584.6801,584.58,584.58,57847.0,766.0,584.634637,72.62164124909809
QQQ,2025-09-11 16:03:00+00:00,584.57,584.75,584.5551,584.74,44308.0,764.0,584.686375,77.41935483871707
QQQ,2025-09-11 16:04:00+00:00,584.74,584.83,584.74,584.79,132889.0,1487.0,584.791588,76.06837606838263
QQQ,2025-09-11 16:05:00+00:00,584.79,584.8151,584.62,584.63,78433.0,856.0,584.703741,62.06896551724408
QQQ,2025-09-11 16:06:00+00:00,584.64,584.67,584.6,584.65,38494.0,623.0,584.635723,60.71428571428934
QQQ,2025-09-11 16:07:00+00:00,584.66,584.71,584.64,584.66,37268.0,557.0,584.678433,66.34615384615407
QQQ,2025-09-11 16:08:00+00:00,584.67,584.74,584.61,584.7,30163.0,580.0,584.691056,63.91752577320204
QQQ,2025-09-11 16:09:00+00:00,584.7,584.765,584.6551,584.6824,42307.0,697.0,584.719305,64.0760644894624
QQQ,2025-09-11 16:10:00+00:00,584.675,584.76,584.65,584.7,54660.0,786.0,584.701941,67.45662293694673
QQQ,2025-09-11 16:11:00+00:00,584.7,584.7,584.62,584.66,71965.0,765.0,584.661782,62.631692109222826
QQQ,2025-09-11 16:12:00+00:00,584.67,584.74,584.65,584.7,55287.0,792.0,584.692643,63.609715242879105
QQQ,2025-09-11 16:13:00+00:00,584.71,584.71,584.6,584.635,53844.0,764.0,584.650568,63.94443275099748
QQQ,2025-09-11 16:14:00+00:00,584.635,584.67,584.565,584.59,56710.0,905.0,584.619491,56.2132851333036
QQQ,2025-09-11 16:15:00+00:00,584.61,584.71,584.55,584.7,84594.0,1100.0,584.633725,53.59195402299162
QQQ,2025-09-11 16:16:00+00:00,584.69,584.7101,584.59,584.61,57995.0,815.0,584.646535,51.73370319001192
QQQ,2025-09-11 16:17:00+00:00,584.61,584.63,584.515,584.515,39631.0,666.0,584.577405,35.9410147463163
QQQ,2025-09-11 16:18:00+00:00,584.51,584.6887,584.4,584.51,129081.0,1100.0,584.555153,31.461864406788493
